analysis	ensembl_gene_id	chromosome	hgnc_symbol	pval	pval_c_prs	pval_c_prs_common	pval_c_prs_rare	likely_ch_effect	phenotypes	cond_variants_pct
CC	ENSG00000007306	19	CEACAM7	4.16237e-07	0.00251643		3.956791e-07	FALSE	CC_combined	100
CC	ENSG00000132781	1	MUTYH	1.50776e-11	4.68601e-12		3.973146e-43	TRUE	CC_combined	96.154
CC	ENSG00000138686	4	BBS7	1.54946e-07				TRUE	CC_combined	100
CD	ENSG00000104368	8	PLAT	4.13191e-08			8.696305e-07	FALSE	CD_combined	100
CD	ENSG00000124177	20	CHD6	1.87535e-13			6.168847e-15	TRUE	CD_combined	100
CD	ENSG00000137959	1	IFI44L	1.7055e-07			1.407747e-07	TRUE	CD_combined	100
CD	ENSG00000162654	1	GBP4	2.30994e-08			2.748568e-08	TRUE	CD_combined	100
CD	ENSG00000180801	4	ARSJ	5.31237e-09			1.765541e-06	FALSE	CD_combined	100
DEM	ENSG00000117480	1	FAAH	5.31476e-41			4.915172e-41	TRUE	DEM_combined	83.333
DEM	ENSG00000124875	4	CXCL6	4.96408e-08			4.766891e-08	TRUE	DEM_combined	100
DM_GD	ENSG00000114786	3	ABHD14A-ACY1	5.05788e-26			6.474831e-26	TRUE	DM_GD	100
DM_GD	ENSG00000125414	17	MYH2	3.98504e-09			3.002008e-05	FALSE	DM_GD	93.939
DM_GD	ENSG00000159588	1	CCDC17	4.85476e-16			9.967319e-14	TRUE	DM_GD	100
DM_GD	ENSG00000243989	3	ACY1	5.05788e-26			6.474831e-26	TRUE	DM_GD	100
DM_GD	ENSG00000253767	5	PCDHGA8	1.93017e-07			9.993801e-07	FALSE	DM_GD	100
DM_GD	ENSG00000257008	17	GPR142	7.96193e-33			2.438155e-33	TRUE	DM_GD	100
DM_T1D	ENSG00000054654	14	SYNE2	3.60301e-20			0.004279911	FALSE	DM_T1D	50
DM_T1D	ENSG00000102781	13	KATNAL1	3.30997e-07			3.125028e-07	TRUE	DM_T1D	93.333
DM_T1D	ENSG00000130005	19	GAMT	1.34342e-14			1.157091e-14	TRUE	DM_T1D	100
DM_T1D	ENSG00000148019	9	CEP78	2.09046e-19			6.854876e-20	TRUE	DM_T1D	100
DM_T1D	ENSG00000171759	12	PAH	7.17019e-07			1.732075e-07	TRUE	DM_T1D	100
DM_T1D	ENSG00000172893	11	DHCR7	3.63519e-07			5.656777e-08	TRUE	DM_T1D	100
DM_T1D	ENSG00000203734	6	ECT2L	4.05061e-07			1.159933e-07	TRUE	DM_T1D	88.889
DM_T2D	ENSG00000214706	3	IFRD2	6.56587e-08	0.00379839		3.091146e-12	FALSE	DM_T2D	100
INF	ENSG00000012504	12	NR1H4	7.12242e-19			2.005217e-20	TRUE	INF_combined	100
INF	ENSG00000108961	17	RANGRF	5.54014e-10			8.33158e-15	TRUE	INF_combined	100
INF	ENSG00000168140	16	VASN	4.80348e-09			3.568233e-09	TRUE	INF_combined	80
INF	ENSG00000168394	6	TAP1	1.38212e-27			7.222838e-28	TRUE	INF_combined	100
LC	ENSG00000042445	2	RETSAT	3.34778e-16			1.489981e-16	TRUE	LC_combined	100
LC	ENSG00000132530	17	XAF1	8.12397e-08			4.004547e-08	TRUE	LC_combined	100
LC	ENSG00000187889	1	FYB2	7.15506e-09			4.703656e-09	TRUE	LC_combined	100
PSOR	ENSG00000204520	6	MICA	4.62872e-10	4.16015e-10	0.7362134	0.8808005	FALSE	PSOR_combined	99.716
